source_name,source_link,event_id,event_date,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,dataset_source,original_event_date,event_date_standardized,event_date_only,original_latitude,original_longitude,latitude_standardized,longitude_standardized,coordinates_valid,latitude_compare,longitude_compare,date_compare,master_id,record_type,event_year,event_month,date_precision,state,district,location_name,initiation_year,triggering_factor,material_type,movement_type,activity,landslide_area,persons_death,source,source_event_id,source_record_url,source_records,source_count,coordinate_source,coordinate_inherited,match_confidence,data_quality,dedup_key,duplicate_group_id,is_duplicate,duplicate_of,notes,elevation,slope,aspect,soil_id,landcover_class,all_features_available
,,,,,,,,,,,,,,,,,,,,,,,,,93.428306,24.814333,LandslideGuard_Project_Master,,,,24.814333,93.428306,24.814333,93.428306,True,24.814,93.428,,IND-INV-027846,INVENTORY,,,unknown,Manipur,Noney,,,Rainfall,Debris,Slide,Active,104.0,,Geological Survey of India (GSI) inventory,MN/NON/83H05/2018/78,,GSI:24183,1.0,GSI,False,SOURCE,HIGH,24.814_93.428,,False,,OBJECTID=24183,415.3012,19.813519,69.86074,4301,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,92.690145,23.754493,LandslideGuard_Project_Master,,,,23.754493,92.690145,23.754493,92.690145,True,23.754,92.69,,IND-INV-029002,INVENTORY,2016.0,,year,Mizoram,Aizawl,,2016.0,Rainfall,Rock,Slide,Suspended,72.0,,Geological Survey of India (GSI) inventory,MIZ/AIZ/84A09/2016/77,,GSI:11394,1.0,GSI,False,SOURCE,HIGH,23.754_92.690,,False,,OBJECTID=11394,692.85266,24.989819,22.486252,3665,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,93.369417,25.423861,LandslideGuard_Project_Master,,,,25.423861,93.369417,25.423861,93.369417,True,25.424,93.369,,IND-INV-027619,INVENTORY,,,unknown,Assam,Dima Hasao,Kepre Tongikro Mongjang slide No.4,,Roadcut & Rainfall,Debris,Slide,Active,377.0,,Geological Survey of India (GSI) inventory,AS/DIM/83G07/2017/34,,GSI:13589,1.0,GSI,False,SOURCE,HIGH,25.424_93.369,,False,,OBJECTID=13589,379.8718,17.953234,231.03853,4276,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,95.788465,28.335249,LandslideGuard_Project_Master,,,,28.335249,95.788465,28.335249,95.788465,True,28.335,95.788,,IND-INV-023272,INVENTORY,,,unknown,Arunachal Pradesh,Dibang Valley,From Roing 37.6 kms along NH-313 towards Hunli,,Rainfall,Rock,Slide,Active,560.0,NIL,Geological Survey of India (GSI) inventory,AP/DV/82P15/2022/106,,GSI:30375,1.0,GSI,False,SOURCE,HIGH,28.335_95.788,,False,,OBJECTID=30375,765.56464,40.645535,61.5739,11790,30,True
,,,,,,,,,,,,,,,,,,,,,,,,,93.508306,24.985167,LandslideGuard_Project_Master,,,,24.985167,93.508306,24.985167,93.508306,True,24.985,93.508,,IND-INV-027957,INVENTORY,,,unknown,Manipur,Tamenglong,Makru Bridge Landslide,,Rainfall,Debris,Slide,Active,680.0,,Geological Survey of India (GSI) inventory,MN/TMG/83H01/2018/001,,GSI:26148,1.0,GSI,False,SOURCE,HIGH,24.985_93.508,,False,,OBJECTID=26148,1236.4967,26.74087,40.83371,4301,50,True
,,,,,,,,,,,,,,,,,,,,,,,,,88.514528,27.433083,LandslideGuard_Project_Master,,,,27.433083,88.514528,27.433083,88.514528,True,27.433,88.515,,IND-INV-020851,INVENTORY,,,unknown,Sikkim,North Sikkim,,,Rainfall,Debris,Slide,Suspended,1000.0,,Geological Survey of India (GSI) inventory,SKM/NS/78A11/2015/86,,GSI:8674,1.0,GSI,False,SOURCE,HIGH,27.433_88.515,,False,,OBJECTID=8674,716.6507,38.872143,257.6703,3662,50,True
,,,,,,,,,,,,,,,,,,,,,,,,,96.54264,28.25203,LandslideGuard_Project_Master,,,,28.25203,96.54264,28.25203,96.54264,True,28.252,96.543,,IND-INV-023461,INVENTORY,,,unknown,Arunachal Pradesh,Anjaw,,,Heavy rainfall,Debris,Slide,Suspended,0.0,,Geological Survey of India (GSI) inventory,AR/ANJ/91D11/2014/38,,GSI:11,1.0,GSI,False,SOURCE,HIGH,28.252_96.543,,False,,OBJECTID=11,1894.707,24.736305,235.03041,11839,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,88.695472,27.025056,LandslideGuard_Project_Master,,,,27.025056,88.695472,27.025056,88.695472,True,27.025,88.695,,IND-INV-021239,INVENTORY,2012.0,,year,West Bengal,Darjeeling,SOUTH OF PHAPERKHETI,2012.0,Rainfall,Rock cum Debris,Slide,Active,900.0,,Geological Survey of India (GSI) inventory,WB/DAR/78A12/2015/1386,,GSI:12955,1.0,GSI,False,SOURCE,HIGH,27.025_88.695,,False,,OBJECTID=12955,879.14636,41.476624,100.29481,3662,50,True
,,,,,,,,,,,,,,,,,,,,,,,,,93.21,24.21,LandslideGuard_Project_Master,,,,24.21,93.21,24.21,93.21,True,24.21,93.21,,IND-INV-028174,INVENTORY,,,unknown,Manipur,Pherzawl,,,Anthropogenic,Debris,Slide,Reactivated,3500.0,,Geological Survey of India (GSI) inventory,MN/PZL/83H04/2020/11,,GSI:27723,1.0,GSI,False,SOURCE,HIGH,24.210_93.210,,False,,OBJECTID=27723,852.74646,30.276491,275.7766,4301,10,True
,,,,,,,,,,,,,,,,,,,,,,,,,93.85,24.24,LandslideGuard_Project_Master,,,,24.24,93.85,24.24,93.85,True,24.24,93.85,,IND-INV-030502,INVENTORY,2018.0,,year,Manipur,Churachandpur,,2018.0,Rainfall,Rock,Slide,Suspended,150.0,,Geological Survey of India (GSI) inventory,MN/CCP/83H16/2020/1,,GSI:27860,1.0,GSI,False,SOURCE,HIGH,24.240_93.850,,False,,OBJECTID=27860,772.08746,7.0085278,165.0953,4276,40,True
