latitude_standardized,longitude_standardized,dataset_source,event_date,event_date_standardized,event_year,event_month,usable_event_date,usable_event_year,usable_event_month,temporal_data_type
24.8961,93.4957,India_Media_Catalog,8/19/2010 0:00,2010-08-19 00:00:00,,,2010-08-19 00:00:00,,,EXACT_DATE
24.8669,92.3576,India_Media_Catalog,5/9/2014 23:00,2014-05-09 23:00:00,,,2014-05-09 23:00:00,,,EXACT_DATE
25.7428,93.9136,India_Media_Catalog,8/28/2007 0:00,2007-08-28 00:00:00,,,2007-08-28 00:00:00,,,EXACT_DATE
23.3572,92.7878,India_Media_Catalog,8/26/2015 0:00,2015-08-26 00:00:00,,,2015-08-26 00:00:00,,,EXACT_DATE
25.61560252,94.11603493,India_Media_Catalog,8/19/2010 18:00,2010-08-19 18:00:00,,,2010-08-19 18:00:00,,,EXACT_DATE
26.4333,94.8833,India_Media_Catalog,6/17/2010 19:30,2010-06-17 19:30:00,,,2010-06-17 19:30:00,,,EXACT_DATE
26.1314,91.7548,India_Media_Catalog,9/22/2014 0:00,2014-09-22 00:00:00,,,2014-09-22 00:00:00,,,EXACT_DATE
27.2333,94.1167,India_Media_Catalog,10/29/2008 0:00,2008-10-29 00:00:00,,,2008-10-29 00:00:00,,,EXACT_DATE
24.1293,92.6921,India_Media_Catalog,9/29/2007 0:00,2007-09-29 00:00:00,,,2007-09-29 00:00:00,,,EXACT_DATE
25.03561729,94.0144205,India_Media_Catalog,6/28/2011 0:00,2011-06-28 00:00:00,,,2011-06-28 00:00:00,,,EXACT_DATE
25.3833,94.1884,India_Media_Catalog,8/15/2013 0:00,2013-08-15 00:00:00,,,2013-08-15 00:00:00,,,EXACT_DATE
26.1666,91.7042,India_Media_Catalog,9/23/2015 0:00,2015-09-23 00:00:00,,,2015-09-23 00:00:00,,,EXACT_DATE
26.0977,94.7031,India_Media_Catalog,6/7/2013 0:00,2013-06-07 00:00:00,,,2013-06-07 00:00:00,,,EXACT_DATE
25.6269,94.1139,India_Media_Catalog,7/15/2013 0:00,2013-07-15 00:00:00,,,2013-07-15 00:00:00,,,EXACT_DATE
24.7979,92.9974,India_Media_Catalog,7/22/2015 0:00,2015-07-22 00:00:00,,,2015-07-22 00:00:00,,,EXACT_DATE
26.1044,91.7082,India_Media_Catalog,9/22/2014 0:00,2014-09-22 00:00:00,,,2014-09-22 00:00:00,,,EXACT_DATE
24.9336,93.8275,India_Media_Catalog,6/19/2008 0:00,2008-06-19 00:00:00,,,2008-06-19 00:00:00,,,EXACT_DATE
26.4205,94.9731,India_Media_Catalog,8/16/2013 0:00,2013-08-16 00:00:00,,,2013-08-16 00:00:00,,,EXACT_DATE
27.1034,93.6885,India_Media_Catalog,8/5/2011 0:00,2011-08-05 00:00:00,,,2011-08-05 00:00:00,,,EXACT_DATE
27.4888,93.0153,India_Media_Catalog,8/15/2011 0:00,2011-08-15 00:00:00,,,2011-08-15 00:00:00,,,EXACT_DATE
23.899,94.1434,India_Media_Catalog,8/1/2015 0:00,2015-08-01 00:00:00,,,2015-08-01 00:00:00,,,EXACT_DATE
28.1193,95.1645,India_Media_Catalog,2/18/2013 0:00,2013-02-18 00:00:00,,,2013-02-18 00:00:00,,,EXACT_DATE
25.1019,93.3729,India_Media_Catalog,8/11/2015 0:00,2015-08-11 00:00:00,,,2015-08-11 00:00:00,,,EXACT_DATE
27.3773,88.559,India_Media_Catalog,7/21/2010 8:00,2010-07-21 08:00:00,,,2010-07-21 08:00:00,,,EXACT_DATE
26.2363,94.8133,India_Media_Catalog,7/6/2010 0:00,2010-07-06 00:00:00,,,2010-07-06 00:00:00,,,EXACT_DATE
25.6278,94.1051,India_Media_Catalog,8/19/2015 15:00,2015-08-19 15:00:00,,,2015-08-19 15:00:00,,,EXACT_DATE
23.74182634,92.7141905,India_Media_Catalog,9/13/2010 0:00,2010-09-13 00:00:00,,,2010-09-13 00:00:00,,,EXACT_DATE
23.0137,91.7174,India_Media_Catalog,8/14/2014 23:00,2014-08-14 23:00:00,,,2014-08-14 23:00:00,,,EXACT_DATE
27.3765,88.7628,India_Media_Catalog,6/27/2013 23:00,2013-06-27 23:00:00,,,2013-06-27 23:00:00,,,EXACT_DATE
26.222,94.9152,India_Media_Catalog,8/14/2010 0:00,2010-08-14 00:00:00,,,2010-08-14 00:00:00,,,EXACT_DATE
26.0137,94.5163,India_Media_Catalog,8/4/2013 0:00,2013-08-04 00:00:00,,,2013-08-04 00:00:00,,,EXACT_DATE
26.1407,91.7645,India_Media_Catalog,6/26/2014 23:00,2014-06-26 23:00:00,,,2014-06-26 23:00:00,,,EXACT_DATE
