dataset_source_dataset1,event_date_dataset1,event_title,location_description,landslide_trigger,latitude_standardized_dataset1,longitude_standardized_dataset1,date_compare,latitude_compare,longitude_compare,dataset_source_dataset2,event_date_dataset2,state,district,location_name,triggering_factor,latitude_standardized_dataset2,longitude_standardized_dataset2
India_Media_Catalog,7/17/2016 9:00,"Railway tunnel a few kilometres from the Haridwar railway station, between Haridwar and Dehradun, Uttarakhand, India","Railway tunnel a few kilometres from the Haridwar railway station, between Haridwar and Dehradun, Uttarakhand, India",downpour,29.9551,78.1677,2016-07-17,29.955,78.168,LandslideGuard_Project_Master,2016-07-17,Uttarakhand,,"Railway tunnel a few kilometres from the Haridwar railway station, between Haridwar and Dehradun, Uttarakhand, India",downpour,29.9551,78.1677
India_Media_Catalog,10/3/2016 11:00,"Chakki-Ka-Mor, about 10 km from Parwanoo","Chakki-Ka-Mor, about 10 km from Parwanoo",construction,30.8974,77.0588,2016-10-03,30.897,77.059,LandslideGuard_Project_Master,2016-10-03,Himachal Pradesh,,"Chakki-Ka-Mor, about 10 km from Parwanoo",construction,30.8974,77.0588
India_Media_Catalog,6/22/2016 12:00,"Piyali Phukan Nagar, Guwahati, India","Piyali Phukan Nagar, Guwahati, India",downpour,26.1961,91.7825,2016-06-22,26.196,91.782,LandslideGuard_Project_Master,2016-06-22,Assam,,"Piyali Phukan Nagar, Guwahati, India",downpour,26.1961,91.7825
India_Media_Catalog,1/14/2016 5:15,NH10 in Rangpo,NH10 in Rangpo,unknown,27.1758,88.5294,2016-01-14,27.176,88.529,LandslideGuard_Project_Master,2016-01-14,West Bengal,,NH10 in Rangpo,unknown,27.1758,88.5294
India_Media_Catalog,10/15/2016 0:00,Rangpo,Rangpo,downpour,27.172,88.5292,2016-10-15,27.172,88.529,LandslideGuard_Project_Master,2016-10-15,Sikkim,,Rangpo,downpour,27.172,88.5292
India_Media_Catalog,8/29/2016 23:00,NH-05 near Chaura village,NH-05 near Chaura village,continuous_rain,31.5728,77.8561,2016-08-29,31.573,77.856,LandslideGuard_Project_Master,2016-08-29,Himachal Pradesh,,NH-05 near Chaura village,continuous_rain,31.5728,77.8561
India_Media_Catalog,4/4/2016 0:00,Hanjishat village in Handwara area of Kupwara district,Hanjishat village in Handwara area of Kupwara district,continuous_rain,34.4002,74.2798,2016-04-04,34.4,74.28,LandslideGuard_Project_Master,2016-04-04,Kashmir,,Hanjishat village in Handwara area of Kupwara district,continuous_rain,34.4002,74.2798
India_Media_Catalog,6/21/2016 9:00,"Parsik Tunnel between Thane and Kalyan railway stations, India","Parsik Tunnel between Thane and Kalyan railway stations, India",downpour,19.19,73.009,2016-06-21,19.19,73.009,LandslideGuard_Project_Master,2016-06-21,Maharashtra,,"Parsik Tunnel between Thane and Kalyan railway stations, India",downpour,19.19,73.009
India_Media_Catalog,5/18/2016 8:00,"Bilaipur, Hailakandi district, Assam, India","Bilaipur, Hailakandi district, Assam, India",continuous_rain,24.5204,92.7264,2016-05-18,24.52,92.726,LandslideGuard_Project_Master,2016-05-18,Assam,,"Bilaipur, Hailakandi district, Assam, India",continuous_rain,24.5204,92.7264
India_Media_Catalog,7/1/2016 0:00,"Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India","Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India",downpour,27.0136,92.6351,2016-07-01,27.014,92.635,LandslideGuard_Project_Master,2016-07-01,Arunachal Pradesh,,"Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India",downpour,27.0136,92.6351
India_Media_Catalog,7/23/2016 23:00,"road leading to Patala Ganga and the ropeway in Srisailam, Andhra Pradesh, India","road leading to Patala Ganga and the ropeway in Srisailam, Andhra Pradesh, India",downpour,16.0781,78.8743,2016-07-23,16.078,78.874,LandslideGuard_Project_Master,2016-07-23,Andhra Pradesh,,"road leading to Patala Ganga and the ropeway in Srisailam, Andhra Pradesh, India",downpour,16.0781,78.8743
India_Media_Catalog,7/17/2016 0:00,"Karcham, Himachal Pradesh, India","Karcham, Himachal Pradesh, India",unknown,31.5007,78.1758,2016-07-17,31.501,78.176,LandslideGuard_Project_Master,2016-07-17,Himachal Pradesh,,"Karcham, Himachal Pradesh, India",unknown,31.5007,78.1758
India_Media_Catalog,4/22/2016 2:30,"Tawang, Arunachal Pradesh","Tawang, Arunachal Pradesh",continuous_rain,27.5799,91.8569,2016-04-22,27.58,91.857,LandslideGuard_Project_Master,2016-04-22,Arunachal Pradesh,,"Tawang, Arunachal Pradesh",continuous_rain,27.5799,91.8569
India_Media_Catalog,8/5/2016 0:00,Babrang village under Jang circle in Tawang district,Babrang village under Jang circle in Tawang district,downpour,27.5754,91.9754,2016-08-05,27.575,91.975,LandslideGuard_Project_Master,2016-08-05,Arunachal Pradesh,,Babrang village under Jang circle in Tawang district,downpour,27.5754,91.9754
India_Media_Catalog,7/16/2016 15:00,"Kulashekara-Konguru Mutt Road (Kongoor Mutt Road) near Mangaluru Junction-Panambur Railway line, near Mangaluru, India","Kulashekara-Konguru Mutt Road (Kongoor Mutt Road) near Mangaluru Junction-Panambur Railway line, near Mangaluru, India",construction,12.8962,74.8859,2016-07-16,12.896,74.886,LandslideGuard_Project_Master,2016-07-16,Karnataka,,"Kulashekara-Konguru Mutt Road (Kongoor Mutt Road) near Mangaluru Junction-Panambur Railway line, near Mangaluru, India",construction,12.8962,74.8859
India_Media_Catalog,7/14/2016 0:00,"Pub Sarania hill, South Sarania, Guwahati, Assam, India","Pub Sarania hill, South Sarania, Guwahati, Assam, India",monsoon,26.1768,91.7702,2016-07-14,26.177,91.77,LandslideGuard_Project_Master,2016-07-14,Assam,,"Pub Sarania hill, South Sarania, Guwahati, Assam, India",monsoon,26.1768,91.7702
India_Media_Catalog,7/13/2016 23:00,"Chandanpur village, Maharajpur, Kanpur, India","Chandanpur village, Maharajpur, Kanpur, India",monsoon,26.3221,80.4703,2016-07-13,26.322,80.47,LandslideGuard_Project_Master,2016-07-13,Uttar Pradesh,,"Chandanpur village, Maharajpur, Kanpur, India",monsoon,26.3221,80.4703
India_Media_Catalog,4/13/2016 13:00,a construction site on Tiger Hill Road,a construction site on Tiger Hill Road,construction,11.3464,76.8076,2016-04-13,11.346,76.808,LandslideGuard_Project_Master,2016-04-13,Tamil Nadu,,a construction site on Tiger Hill Road,construction,11.3464,76.8076
