event_record_id,latitude,longitude,event_date,elevation,slope,aspect,soil_id,landcover_class,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,label,sample_type,event_date_source
10,25.8833,91.2,2010-06-09,234.8751678466797,13.758164405822754,136.6505889892578,3814.0,10.0,,,,,,1,landslide_event,event_date_standardized
304,25.2269,93.1658,2010-06-15,394.0172424316406,3.3200032711029053,312.7441101074219,4276.0,40.0,,,,,,1,landslide_event,event_date_standardized
295,26.3335,94.5512,2010-06-15,1372.5592041015625,25.05665397644043,187.59539794921875,4276.0,50.0,,,,,,1,landslide_event,event_date_standardized
262,25.0633,92.8025,2010-06-16,85.09440612792969,16.955944061279297,134.39682006835938,3701.0,10.0,,,,,,1,landslide_event,event_date_standardized
85,26.4333,94.8833,2010-06-17,568.129638671875,26.82391357421875,329.2273254394531,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
160,25.4916,91.2698,2010-06-28,1479.3677978515625,9.688231468200684,159.8080596923828,3647.0,10.0,,,,,,1,landslide_event,event_date_standardized
15,25.5728,91.885,2010-06-28,1506.6357421875,7.491045475006103,315.9411926269531,3646.0,50.0,,,,,,1,landslide_event,event_date_standardized
104,26.2363,94.8133,2010-07-06,1558.9539794921875,16.332609176635742,47.38410949707031,4276.0,50.0,,,,,,1,landslide_event,event_date_standardized
114,25.8877,94.7861,2010-07-06,1171.9498291015625,6.588235855102539,272.0567932128906,4276.0,50.0,,,,,,1,landslide_event,event_date_standardized
305,26.7225,95.0281,2010-07-06,705.9417724609375,11.936344146728516,315.3321838378906,4276.0,10.0,,,,,,1,landslide_event,event_date_standardized
148,26.0093,94.5238,2010-07-06,1806.620361328125,18.33163070678711,128.7078399658203,4276.0,50.0,,,,,,1,landslide_event,event_date_standardized
268,26.7215,95.0283,2010-07-19,727.4697265625,17.821475982666016,8.26441478729248,4276.0,50.0,,,,,,1,landslide_event,event_date_standardized
46,26.8716,94.9921,2010-07-20,278.34490966796875,16.843189239501953,164.58840942382812,3637.0,10.0,,,,,,1,landslide_event,event_date_standardized
139,27.5509,88.6475,2010-07-21,1410.63623046875,49.52345657348633,212.1207275390625,3662.0,10.0,,,,,,1,landslide_event,event_date_standardized
103,27.3773,88.559,2010-07-21,1473.3265380859375,32.3568000793457,254.3673095703125,3662.0,10.0,,,,,,1,landslide_event,event_date_standardized
177,25.0477,92.801,2010-07-25,169.20570373535156,25.28746223449707,91.56967163085938,3701.0,10.0,,,,,,1,landslide_event,event_date_standardized
212,24.9786,93.5027,2010-07-29,1312.0723876953125,15.88975715637207,277.99920654296875,4301.0,10.0,,,,,,1,landslide_event,event_date_standardized
