event_record_id,latitude,longitude,event_date,elevation,slope,aspect,soil_id,landcover_class,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,label,sample_type,event_date_source,nearest_grid_distance_km,nearest_grid_latitude,nearest_grid_longitude,grid_distance_valid,rainfall_temporal_coverage,all_rainfall_features_available
0,27.478,88.527,2009-07-01,746.7476196289062,21.305740356445312,190.0960235595703,3662.0,10.0,12.966178894042969,67.4974136352539,147.22596216201782,202.08282732963562,371.9279283285141,1,landslide_event,event_date_standardized,3.641158055957273,27.5,88.5,True,FULL,True
209,27.7,92.8,2009-08-12,2444.436279296875,14.2368745803833,222.82147216796875,11864.0,10.0,16.534317016601562,25.055775344371796,46.018175542354584,285.57811015844345,611.2121159881353,1,landslide_event,event_date_standardized,7.475177688144578,27.75,92.75,True,FULL,True
38,27.15977181,88.63411246,2009-08-16,812.6243286132812,40.2085075378418,47.09462738037109,3662.0,10.0,79.59229278564453,121.57568740844727,249.7219684123993,459.09509843587875,862.8805512785912,1,landslide_event,event_date_standardized,15.317861277738473,27.25,88.75,True,FULL,True
29,24.9925,93.5,2009-08-20,1213.68408203125,21.690649032592773,65.05585479736328,4301.0,50.0,5.58575963973999,9.435453534126282,95.89020216464996,128.2826610803604,207.5699042826891,1,landslide_event,event_date_standardized,0.8349000000002889,25.0,93.5,True,FULL,True
22,27.1761,88.5287,2009-08-20,299.4311218261719,5.506807327270508,235.9091186523437,3662.0,50.0,31.10710906982422,160.5953025817871,290.16262555122375,416.13932728767395,768.958838403225,1,landslide_event,event_date_standardized,8.710876011529407,27.25,88.5,True,FULL,True
9,25.5215,93.1645,2009-08-20,270.9970092773437,6.731748104095459,119.65299224853516,4276.0,10.0,2.442675828933716,8.788684248924255,46.95514380931854,117.19757667183876,173.19814524054527,1,landslide_event,event_date_standardized,8.861844711415964,25.5,93.25,True,FULL,True
146,25.1718,93.123,2009-08-27,723.78369140625,10.260483741760254,205.0050048828125,4276.0,30.0,29.43846893310547,44.75821304321289,49.41570468246937,95.48976458609104,263.3460651785135,1,landslide_event,event_date_standardized,15.048362391315125,25.25,93.0,True,FULL,True
211,24.8628,94.4182,2009-08-30,905.5567016601562,33.573360443115234,186.70074462890625,4301.0,10.0,1.4216063022613523,6.524518728256226,20.83163273334503,84.15378892421722,226.60519456863403,1,landslide_event,event_date_standardized,14.977143755796364,24.75,94.5,True,FULL,True
158,27.1954,88.6115,2009-09-17,478.9856262207031,13.082609176635742,137.0054473876953,3662.0,10.0,47.973899841308594,68.90163958072662,84.53075763583183,229.94487926363945,494.12554144859314,1,landslide_event,event_date_standardized,12.679032013668987,27.25,88.5,True,FULL,True
193,23.73478778,92.72124394,2009-10-05,974.2714233398438,25.156400680541992,21.64884757995605,7001.0,30.0,4.063979148864746,4.318403609097004,4.777386732399464,111.63170785456896,280.0219880118966,1,landslide_event,event_date_standardized,3.3321214278106157,23.75,92.75,True,FULL,True
116,24.7339,93.9161,2010-03-27,879.9097900390625,23.49284172058105,117.61614227294922,4276.0,30.0,9.469091415405272,9.645194530487059,9.645194530487059,9.827642023563383,25.44571727514267,1,landslide_event,event_date_standardized,8.562526356669924,24.75,94.0,True,FULL,True
19,25.1553,93.028,2010-04-01,576.326904296875,27.646631240844727,355.6628112792969,4276.0,10.0,37.55191421508789,72.33977699279785,133.1730318069458,133.1730318069458,149.7027199268341,1,landslide_event,event_date_standardized,10.906045927062511,25.25,93.0,True,FULL,True
221,27.8997,93.3497,2010-04-02,870.244873046875,7.713263034820557,211.4642028808593,11864.0,50.0,25.304676055908203,80.80371284484863,147.22974848747253,196.88112235069275,242.54127341508865,1,landslide_event,event_date_standardized,14.955303936336188,28.0,93.25,True,FULL,True
52,27.3341,88.6083,2010-04-17,1437.78466796875,31.77921867370605,256.06817626953125,3662.0,10.0,20.994691848754883,27.638539791107178,96.77934432029724,142.370081782341,308.63104800879955,1,landslide_event,event_date_standardized,14.298855909174883,27.25,88.5,True,FULL,True
198,27.322,88.6087,2010-04-17,1515.9171142578125,41.73021697998047,291.3511962890625,3662.0,10.0,20.994691848754883,27.638539791107178,96.77934432029724,142.370081782341,308.63104800879955,1,landslide_event,event_date_standardized,13.48759925995296,27.25,88.5,True,FULL,True
117,26.1978,91.7665,2010-04-20,86.62431335449219,18.580564498901367,80.6427001953125,3650.0,50.0,28.944425582885746,85.79954528808594,119.32504653930664,127.25461696088314,202.7015015333891,1,landslide_event,event_date_standardized,6.039701100288042,26.25,91.75,True,FULL,True
228,26.1965,91.763,2010-04-20,96.65662384033205,9.91713809967041,137.4087371826172,3650.0,50.0,28.944425582885746,85.79954528808594,119.32504653930664,127.25461696088314,202.7015015333891,1,landslide_event,event_date_standardized,6.095285829731352,26.25,91.75,True,FULL,True
39,27.8965,96.1779,2010-04-21,210.589599609375,5.63365364074707,315.86431884765625,3637.0,10.0,95.70874786376952,177.4802074432373,213.02667880058289,349.68026304244995,620.0422768592834,1,landslide_event,event_date_standardized,13.583798339198339,28.0,96.25,True,FULL,True
308,25.3612,92.2845,2010-04-21,1223.6009521484375,9.077141761779783,79.6989517211914,3646.0,30.0,23.4087028503418,86.16457939147949,138.76943063735962,182.75999683141708,437.6678427308798,1,landslide_event,event_date_standardized,12.84866513045613,25.25,92.25,True,FULL,True
224,25.3433,92.2897,2010-05-11,1199.6312255859375,6.1593546867370605,113.76013946533205,3646.0,30.0,15.795374870300291,29.95525884628296,61.69495838880539,108.74590323865414,452.8481892198324,1,landslide_event,event_date_standardized,11.116149737994583,25.25,92.25,True,FULL,True
199,28.4298,95.8776,2010-05-31,524.8622436523438,10.550423622131348,307.4333801269531,11790.0,10.0,1.033973217010498,3.306497097015381,25.406718730926514,77.12549543380737,296.62395945191383,1,landslide_event,event_date_standardized,14.500857594797584,28.5,96.0,True,FULL,True
254,27.3543,88.6428,2010-05-31,2121.573486328125,21.04854965209961,78.2112808227539,3662.0,10.0,23.793811798095703,59.58388113975525,93.4936797618866,169.77559304237366,251.1324947923422,1,landslide_event,event_date_standardized,15.787874698867908,27.25,88.75,True,FULL,True
216,24.6005,92.3814,2010-06-03,103.36077880859376,19.323692321777344,352.72100830078125,3708.0,10.0,16.55670928955078,71.39928817749023,112.19475013017654,341.4983385205269,490.29601269960403,1,landslide_event,event_date_standardized,16.286467565725378,24.5,92.5,True,FULL,True
122,23.8986,91.7599,2010-06-03,175.7871551513672,14.356929779052734,8.92135238647461,3665.0,10.0,42.11566925048828,52.82124066352844,196.87387204170227,447.60647970438004,600.0955194532871,1,landslide_event,event_date_standardized,11.331002194916897,24.0,91.75,True,FULL,True
189,24.7543,93.5039,2010-06-07,394.7284240722656,13.277341842651367,353.5431213378906,4301.0,10.0,15.09889316558838,34.22992420196533,67.91925168037415,143.30045688152313,234.77660846710205,1,landslide_event,event_date_standardized,0.6169357272289104,24.75,93.5,True,FULL,True
10,25.8833,91.2,2010-06-09,234.8751678466797,13.758164405822754,136.6505889892578,3814.0,10.0,25.58313751220703,65.18169260025024,199.6275191307068,320.0973685979843,465.67318445444107,1,landslide_event,event_date_standardized,13.916362659806309,26.0,91.25,True,FULL,True
304,25.2269,93.1658,2010-06-15,394.0172424316406,3.3200032711029053,312.7441101074219,4276.0,40.0,18.79496955871582,43.38160037994385,82.17159779369831,176.35651750862598,285.90802474319935,1,landslide_event,event_date_standardized,8.787462798543766,25.25,93.25,True,FULL,True
295,26.3335,94.5512,2010-06-15,1372.5592041015625,25.05665397644043,187.59539794921875,4276.0,50.0,29.66444969177246,57.24293613433838,82.78889691829681,155.1510088443756,240.0187568962574,1,landslide_event,event_date_standardized,10.607001552999373,26.25,94.5,True,FULL,True
262,25.0633,92.8025,2010-06-16,85.09440612792969,16.955944061279297,134.39682006835938,3701.0,10.0,9.579708099365234,25.376970291137695,46.326197147369385,231.25577878952026,362.0772542655468,1,landslide_event,event_date_standardized,8.780883457322298,25.0,92.75,True,FULL,True
85,26.4333,94.8833,2010-06-17,568.129638671875,26.82391357421875,329.2273254394531,4276.0,10.0,18.71483993530273,83.41134643554688,182.567156791687,306.5471782684326,448.33471359312534,1,landslide_event,event_date_standardized,13.811738546610705,26.5,95.0,True,FULL,True
160,25.4916,91.2698,2010-06-28,1479.3677978515625,9.688231468200684,159.8080596923828,3647.0,10.0,275.992919921875,682.1831359863281,960.6376099586487,1674.4413046836853,2763.7384600639343,1,landslide_event,event_date_standardized,2.1860426912908295,25.5,91.25,True,FULL,True
15,25.5728,91.885,2010-06-28,1506.6357421875,7.491045475006103,315.9411926269531,3646.0,50.0,55.83925247192383,144.93849754333496,196.6080787330866,523.0802705436945,605.55607663095,1,landslide_event,event_date_standardized,14.049426953079616,25.5,92.0,True,FULL,True
104,26.2363,94.8133,2010-07-06,1558.9539794921875,16.332609176635742,47.38410949707031,4276.0,50.0,25.41084289550781,50.20871686935424,94.74422717094421,180.4247269630432,359.69129943847656,1,landslide_event,event_date_standardized,6.498552195726651,26.25,94.75,True,FULL,True
